date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link
02.03.2021,2021,japan,ybc-levain-cup,Shonan Bellmare,Urawa Reds,3.14,3.41,2.19,1.94,1.88,1.74,2.03,https://www.oddsportal.com/soccer/japan/ybc-levain-cup/shonan-bellmare-urawa-reds-YPQmr1Ds
02.03.2021,2021,england,league-one,Northampton,Plymouth,2.66,3.53,2.63,1.90,1.97,1.69,2.12,https://www.oddsportal.com/soccer/england/league-one/northampton-plymouth-KOa2WvOD
02.03.2021,2021,northern-ireland,nifl-premiership,Larne,Crusaders,2.28,3.51,2.9,1.78,2.03,1.64,2.14,https://www.oddsportal.com/soccer/northern-ireland/nifl-premiership/larne-crusaders-nF7tmhsI
02.03.2021,2021,iran,division-1,Havadar SC,Mes Kerman,2.75,2.94,2.6,2.60,1.44,2.05,1.69,https://www.oddsportal.com/soccer/iran/division-1/havadar-sc-mes-kerman-pt4CPlID
02.03.2021,2021,iran,division-1,Esteghlal Khuzestan,Navad Urmia,1.75,3.07,5.23,2.94,1.36,2.84,1.39,https://www.oddsportal.com/soccer/iran/division-1/esteghlal-khuzestan-navad-urmia-dvY0WKjQ
02.03.2021,2021,england,league-two,Morecambe,Crawley,2.33,3.27,3.17,1.98,1.85,1.74,2.03,https://www.oddsportal.com/soccer/england/league-two/morecambe-crawley-town-bXBv69Do
02.03.2021,2021,uganda,premier-league,Onduparaka FC,BUL,2.12,3.22,3.11,1.59,2.14,1.41,2.75,https://www.oddsportal.com/soccer/uganda/premier-league/onduparaka-fc-bul-Sh5taFnG
02.03.2021,2021,england,league-two,Oldham,Bolton,3.07,3.36,2.34,1.83,2.01,1.64,2.16,https://www.oddsportal.com/soccer/england/league-two/oldham-bolton-6cFn4mrb
02.03.2021,2021,czech-republic,mol-cup,Plzen,Hradec Kralove,1.15,7.69,13.38,1.31,3.14,1.85,1.87,https://www.oddsportal.com/soccer/czech-republic/mol-cup/plzen-hradec-kralove-biOzivIh
02.03.2021,2021,bulgaria,bulgarian-cup,CSKA Sofia,Cherno More,1.73,3.35,4.84,2.29,1.61,2.13,1.66,https://www.oddsportal.com/soccer/bulgaria/bulgarian-cup/cska-sofia-cherno-more-IklIXyfa
02.03.2021,2021,israel,leumit-league,M. Nazareth,Beitar Tel Aviv,3.42,3.19,2.1,2.28,1.60,1.99,1.76,https://www.oddsportal.com/soccer/israel/leumit-league/m-nazareth-beitar-tel-aviv-GMRRlPPC
02.03.2021,2021,england,league-one,Doncaster,Portsmouth,3.01,3.49,2.38,1.98,1.88,1.75,2.04,https://www.oddsportal.com/soccer/england/league-one/doncaster-portsmouth-QProOGVg
02.03.2021,2021,switzerland,challenge-league,Wil,Winterthur,3.91,3.67,1.89,1.78,2.08,1.69,2.11,https://www.oddsportal.com/soccer/switzerland/challenge-league/wil-winterthur-lSNFh1Op
02.03.2021,2021,england,national-league,Chesterfield,Eastleigh,1.93,3.31,4.03,1.87,1.94,1.73,2.04,https://www.oddsportal.com/soccer/england/national-league/chesterfield-eastleigh-fPG9dyQ6
